id,time,activityrecognition#0,activityrecognition#1,android.sensor.accelerometer#mean,android.sensor.accelerometer#min,android.sensor.accelerometer#max,android.sensor.accelerometer#std,android.sensor.game_rotation_vector#mean,android.sensor.game_rotation_vector#min,android.sensor.game_rotation_vector#max,android.sensor.game_rotation_vector#std,android.sensor.gravity#mean,android.sensor.gravity#min,android.sensor.gravity#max,android.sensor.gravity#std,android.sensor.gyroscope#mean,android.sensor.gyroscope#min,android.sensor.gyroscope#max,android.sensor.gyroscope#std,android.sensor.gyroscope_uncalibrated#mean,android.sensor.gyroscope_uncalibrated#min,android.sensor.gyroscope_uncalibrated#max,android.sensor.gyroscope_uncalibrated#std,android.sensor.light#mean,android.sensor.light#min,android.sensor.light#max,android.sensor.light#std,android.sensor.linear_acceleration#mean,android.sensor.linear_acceleration#min,android.sensor.linear_acceleration#max,android.sensor.linear_acceleration#std,android.sensor.magnetic_field#mean,android.sensor.magnetic_field#min,android.sensor.magnetic_field#max,android.sensor.magnetic_field#std,android.sensor.magnetic_field_uncalibrated#mean,android.sensor.magnetic_field_uncalibrated#min,android.sensor.magnetic_field_uncalibrated#max,android.sensor.magnetic_field_uncalibrated#std,android.sensor.orientation#mean,android.sensor.orientation#min,android.sensor.orientation#max,android.sensor.orientation#std,android.sensor.pressure#mean,android.sensor.pressure#min,android.sensor.pressure#max,android.sensor.pressure#std,android.sensor.proximity#mean,android.sensor.proximity#min,android.sensor.proximity#max,android.sensor.proximity#std,android.sensor.rotation_vector#mean,android.sensor.rotation_vector#min,android.sensor.rotation_vector#max,android.sensor.rotation_vector#std,android.sensor.step_counter#mean,android.sensor.step_counter#min,android.sensor.step_counter#max,android.sensor.step_counter#std,sound#mean,sound#min,sound#max,sound#std,speed#mean,speed#min,speed#max,speed#std,target,user
876,77.0,,100.0,9.99346632118,8.965620961339999,10.8916451194,0.504117059576,0.563791884308,0.521799103987,0.672663744621,0.06479213186390001,9.8066501563,9.80664966214,9.80665053121,2.6444301140500004e-07,0.18320209780900001,0.0206668572373,0.38087506673199995,0.09881913847780001,0.265652184888,0.141208498859,0.313019733394,0.08317481522810001,30.0,30.0,30.0,39.5979797464,1.65830750209,0.379803005713,2.7959953197000003,1.1222254603,78.37571835,76.5432606086,79.2737394335,1.10436115049,157.42921752,156.79590908,158.06252596,0.895633385013,193.20145841599998,35.864971591999996,360.56046772699995,181.729454699,,,,,,,,,0.322241915004,0.308054844036,0.378193174062,0.0256078524026,,,,,89.77073231600001,89.77073231600001,89.77073231600001,0.0063892352187299994,9.0,9.0,9.0,,Car,U1
13480,559.0,,100.0,9.33048171135,9.149029238119999,9.52004390746,0.10385656288999999,,,,,,,,,,,,,,,,,33.5,33.0,34.0,0.707106781187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.361127236499996,57.361127236499996,57.361127236499996,1.00661125342,0.0,0.0,0.0,0.0,Car,U8
18786,41.0,,100.0,9.78977129281,9.758750712100001,9.816196875900001,0.0134885934094,0.295890065254,0.295890065254,0.295890065254,4.22409326952e-05,9.80664975354,9.80664975354,9.80664975354,3.43477119119e-07,0.00409986525381,0.0027318724481800003,0.006579220148109999,0.00180112306541,0.0429908440802,0.041700226114599996,0.0441516557365,0.00101786284223,45.0,45.0,45.0,,0.027440833538,0.023156696090199998,0.0319007138504,0.00364154653192,113.64334209100001,113.19072486,114.011622215,0.19343290041900002,170.802621765,170.521376959,170.99207584,0.24841198194699998,336.89150691599997,336.89150691599997,336.89150691599997,0.0472997851057,1036.9332,1036.9189999999999,1036.95,0.0110624364405,,,,,0.201198417294,0.201079137095,0.201317697493,0.00016868767514800003,,,,,65.1583690063,65.1583690063,65.1583690063,,,,,,Train,U7
343,35.0,,100.0,9.639711442260001,8.99613405513,10.0278019439,0.25505288498100004,0.9694496826719999,0.9659633939390001,0.972935971405,0.0049303568085600005,9.80665010213,9.806649586599999,9.80665038832,2.1566778934499999e-07,0.0415540643649,0.008014423857229998,0.12302620803400001,0.0300742373795,0.06575401641,0.0396038786961,0.11684985242399999,0.0293209584453,2.5,1.0,4.0,2.12132034356,0.2789968597,0.157357565789,0.374630842155,0.0848212769796,36.2758019598,35.429269209299996,37.5821973142,0.9504121432029999,135.955179721,134.611517396,136.769306743,0.937386549196,131.29409779,129.655121874,132.691329461,1.3653198198899998,,,,,,,,,0.780795203731,0.774057911284,0.7868450526749999,0.0050620043871,,,,,89.8084408315,89.8084408315,89.8084408315,0.010171437263200002,4.75,4.75,4.75,,Bus,U1
4650,27.0,,69.0,9.60210856296,9.0147864831,10.0685281258,0.267790551832,0.8965361384139999,0.894286543493,0.897685292524,0.00152896420898,9.80665022386,9.80664970788,9.8066507289,3.34175541275e-07,0.037450782343699994,0.0071743899406,0.08482030355730001,0.021390824018700003,0.0304911474402,0.021024573581400002,0.03910811857319999,0.00813950524981,48.0,48.0,48.0,,0.255171829308,0.158721899497,0.345489805073,0.076332631325,100.965696313,100.52553213600001,101.24296106,0.385458471571,140.174223103,140.174223103,140.174223103,0.322090749462,151.07318301700002,150.49241928200001,151.483071142,0.421325572144,,,,,,,,,0.968082050052,0.967066420758,0.96880641366,0.00047710896432,,,,,89.8157384837,89.8157384837,89.8157384837,0.0049950810864300005,,,,,Train,U1
12177,234.0,,100.0,9.864564603069999,9.55466288207,10.3433459018,0.114261228016,0.783412281389,0.77993542066,0.795632957562,0.00556877615304,9.80655905389,9.80655905389,9.80655905389,1.31532892159e-05,0.131283456879,0.131283456879,0.131283456879,0.0033307834582500004,0.0671507338295,0.0671507338295,0.0671507338295,1.16183603545,135.0,135.0,135.0,,0.07174733300689999,0.07174733300689999,0.07174733300689999,0.289834150485,47.1691114892,46.556165676499994,47.7820573019,0.8668362813200001,236.932685918,236.932685918,236.932685918,2.38690913226,181.20864996400002,180.446099431,182.81773035700002,0.9839914587690001,,,,,,,,,0.999972632859,0.999952701343,0.999997205748,2.26123255981e-05,9242.0,9242.0,9242.0,,70.5706212127,70.5706212127,70.5706212127,7.97487839913,0.0,0.0,0.0,,Still,U10
4758,135.0,,23.0,9.44652684362,8.901048060479999,10.0133646334,0.31744607707600003,0.998855982941,0.998771518306,0.9990395727310001,8.25090089487e-05,9.80664997505,9.806649241699999,9.80665057788,3.5555748141999997e-07,0.022525383791099998,0.00536172226192,0.0585387240168,0.0131136008672,0.0449085803462,0.028819930276900003,0.0722052705051,0.0172588972085,88.0,87.0,89.0,1.4142135623700003,0.411267162931,0.18085161922600002,1.12661143437,0.353829370134,98.0157620718,92.43790540629999,103.81263228,4.212702369,138.888984937,138.888984937,138.888984937,1.06954944801,196.714199945,196.653162642,196.771742551,0.0522503107387,,,,,,,,,0.989397875246,0.98904580171,0.990213199365,0.000436269105184,,,,,89.79213932540002,89.79213932540002,89.79213932540002,0.037445571793999995,,,,,Train,U1
9972,11.0,,100.0,9.36572732401,3.75871187487,13.7248098125,2.5084267287,0.693535970167,0.693535970167,0.693535970167,0.0032883295971399998,9.80663776961,9.806634445850001,9.806641093360001,4.70049939917e-06,0.296977564711,0.0495319320474,0.7707318781039999,0.231980726229,0.334016276273,0.057652362649400005,0.790935754099,0.22677302752599998,1.0,1.0,1.0,,0.398539539639,0.398539539639,0.398539539639,,83.29249110100001,83.11630544239999,83.4686767596,0.249164147888,105.677528359,105.677528359,105.677528359,6.27413956136,349.534385901,346.565446753,351.76024687,1.74726884005,1021.45215,1021.45215,1021.45215,,,,,,0.5784314442,0.5784314442,0.5784314442,0.0097035053883,,,,,85.0313044729,85.0313044729,85.0313044729,7.03572217878,6.9650240000000005,6.9650240000000005,6.9650240000000005,0.204413963839,Car,U13
1937,563.0,,100.0,9.9320777134,9.6081022713,10.2042315535,0.14597159066999998,0.301756901377,0.299379875817,0.303967944825,0.0019513044162800001,9.80665013031,9.80664993784,9.806650496389999,1.78932704818e-07,0.017878648178700003,0.00463390104617,0.0579025124116,0.012215627354600002,0.0335059199659,0.031193910606299998,0.0365792792947,0.00235033239961,4.5,1.0,8.0,4.94974746831,0.534977245566,0.225468109459,0.725922695201,0.270474969101,53.6399886798,52.7569649074,54.831202554499995,0.79873803296,156.936209531,156.75192161799998,157.120497444,0.26062246594599997,333.797871854,329.002561801,338.92130507400003,4.96750597773,,,,,,,,,0.329745121496,0.30565852722,0.372181426726,0.0233582689507,,,,,89.76378507129999,89.70846557860001,89.819104564,0.0782335768238,9.5,9.5,9.5,,Car,U1
18258,7.0,,100.0,9.82620101548,8.52210623851,11.3644736774,0.38926343710699995,0.41455015212800006,0.39758580303499996,0.43151450122100005,0.0239912125642,9.8066447521,9.8066447521,9.8066447521,,0.029334805146499998,0.028126348093,0.0305432622,0.00170901635461,0.102843297578,0.102843297578,0.102843297578,0.046960852836100006,,,,,1.3600782500600002,1.3600782500600002,1.3600782500600002,0.48002345082500003,44.633395568800005,44.633395568800005,44.633395568800005,0.250899422577,164.16998287799998,164.16998287799998,164.16998287799998,0.266572059806,218.687147084,218.687147084,218.687147084,,,,,,0.0,0.0,0.0,,0.9645347220620001,0.9645347220620001,0.9645347220620001,0.016306794437299998,,,,,78.50624183,78.50624183,78.50624183,0.7277914288289999,2.6472714,2.6472714,2.6472714,0.463508424357,Bus,U7
